site,lat,lon,subregion
Y2028,26.673288,-80.018876,South Palm Beach
Y2029,26.618243,-80.022862,South Palm Beach
Y2030,26.608771,-80.023947,South Palm Beach
Y2097,25.927695,-80.114722,Broward-Miami
Y2149,25.77903333,-80.11291667,Broward-Miami
Y2193,25.40225,-80.12931,Biscayne
Y2202,25.349009,-80.189109,Biscayne
Y2216,25.296218,-80.169908,Biscayne
Y2223,25.230899,-80.2655,Upper Keys
Y2231,25.19178,-80.239529,Upper Keys
Y2236,25.145248,-80.256528,Upper Keys
Y2238,25.134125,-80.329724,Upper Keys
Y2245,25.07871,-80.376656,Upper Keys
Y2273,24.95128,-80.53481,Mid-Upper Keys Transition
Y2304,24.710477,-80.948574,Middle Keys
Y2313,24.664491,-81.075356,Middle Keys
Y2318,24.62715,-81.22955,Middle Keys
Y2319,24.625007,-81.235465,Middle Keys
Y2322,24.61494,-81.393075,Lower Keys
Y2324,24.611443,-81.16576,Middle Keys
Y2325,24.610008,-81.175952,Middle Keys
Y2327,24.59958,-81.194845,Middle Keys
Y2331,24.591843,-81.222371,Middle Keys
Y2350,24.550486,-81.567166,Lower Keys
Y2365,24.520296,-81.595168,Lower Keys
Y2368,24.517894,-81.610793,Lower Keys
Y2371,24.51489,-81.683338,Lower Keys
Y2374,24.51403,-81.9253,Lower Keys
Y2376,24.51321,-81.95249,Lower Keys
Y2378,24.511502,-81.562898,Lower Keys
Y2407,24.436313,-81.965538,Lower Keys
Y2409,24.705563,-82.863188,Tortugas--Dry Tortugas NP
Y2410,24.65643,-82.85453,Tortugas--Dry Tortugas NP
Y2411,24.676823,-82.92149,Tortugas--Dry Tortugas NP
Y2413,24.610736,-82.970349,Tortugas--Dry Tortugas NP
Y2417,24.708125,-82.873543,Tortugas--Dry Tortugas NP
Y2418,24.592877,-82.873835,Tortugas--Dry Tortugas NP
Y2421,24.70027,-82.777069,Tortugas--Dry Tortugas NP
Y2425,24.69242,-82.903646,Tortugas--Dry Tortugas NP
Y2426,24.676095,-82.820925,Tortugas--Dry Tortugas NP
Y2428,24.603804,-82.948022,Tortugas--Dry Tortugas NP
Y2431,24.637815,-82.900644,Tortugas--Dry Tortugas NP
Y2432,24.632545,-82.905125,Tortugas--Dry Tortugas NP
