data_provider,site,lat,lon,date,species,coral_type,n_alive,n_dead,n_geno,n_total,pct_mort,n_total_cat,subregion,siteclust
crf,crf.Eastern Dry Rocks EDR S8 Reef Crest Area 2,24.46286,-81.84355,2023-12-04,APAL,Outplant,0,1185,24,1185,1,"[1e+03,7e+03)",Lower Keys,2
crf,crf.Eastern Dry Rocks EDR S9 Reef Crest Area 2,24.46286,-81.84355,2023-08-01,APAL,Outplant,0,847,8,847,1,"[100,1e+03)",Lower Keys,2
crf,crf.Eastern Dry Rocks EDR S9 Reef Crest Area 3,24.46286,-81.84355,2023-08-16,APAL,Outplant,55,369,7,424,0.8702830188679245,"[100,1e+03)",Lower Keys,2
crf,crf.Eastern Dry Rocks EDR S9 Reef Crest Area 4,24.46286,-81.84355,2023-10-31,APAL,Outplant,0,367,10,367,1,"[100,1e+03)",Lower Keys,2
crf,crf.Eastern Dry Rocks EDR S9 Reef Crest Area 5,24.46286,-81.84355,2023-10-31,APAL,Outplant,0,286,5,286,1,"[100,1e+03)",Lower Keys,2
crf,crf.Eastern Dry Rocks EDR S9 Reef Crest Area 6,24.46286,-81.84355,2023-10-31,APAL,Outplant,0,116,2,116,1,"[100,1e+03)",Lower Keys,2
crf,crf.Pickles Reef Pickles 2022 Area 10 (elk),24.98715,-80.41491,2023-09-09,APAL,Outplant,7,821,NA,828,0.9915458937198067,"[100,1e+03)",Upper Keys,4
crf,crf.Pickles Reef Pickles 2022 Area 8_1-8 (elk),24.98715,-80.41491,2023-08-14,APAL,Outplant,847,2514,36,3361,0.7479916691460875,"[1e+03,7e+03)",Upper Keys,4
crf,crf.Sombrero Reef S4 S&G Area 1 (Elk),24.62645,-81.11082,2023-09-14,APAL,Outplant,0,795,NA,795,1,"[100,1e+03)",Middle Keys,5
crf,crf.Sombrero Reef S5 RC Area 5-7 (Elk),24.62645,-81.11082,2023-09-14,APAL,Outplant,141,1016,NA,1157,0.878133102852204,"[1e+03,7e+03)",Middle Keys,5
crf,crf.Sombrero Reef S5 S&G Area 3 (Elk),24.62645,-81.11082,2023-09-14,APAL,Outplant,0,174,3,174,1,"[100,1e+03)",Middle Keys,5
crf,crf.Sombrero Reef S6 RC Area 2 (Elk),24.62645,-81.11082,2023-09-14,APAL,Outplant,0,267,NA,267,1,"[100,1e+03)",Middle Keys,5
crf,crf.Carysfort Reef South CF South S5 Reef Crest Training Area 1,25.221800000000002,-80.21,2024-02-13,APAL,Outplant,0,52,1,52,1,"[10,100)",Upper Keys,1
crf,crf.Carysfort Reef South CF South S5 Reef Crest Training Area 2,25.221800000000002,-80.21,2024-02-13,APAL,Outplant,0,45,1,45,1,"[10,100)",Upper Keys,1
crf,crf.Looe Key Looe S11 Spur and Groove Area 2,24.54624,-81.40547,2024-03-12,APAL,Outplant,0,324,6,324,1,"[100,1e+03)",Lower Keys,6
crf,crf.Pickles Reef Pickles 2023 Area 1,24.98715,-80.41491,2024-01-05,APAL,Outplant,0,209,4,209,1,"[100,1e+03)",Upper Keys,4
dw,dw.Allans,25.164116,-80.277266,2023-11-27,APAL,Wild,0,12,NA,12,1,"[10,100)",Upper Keys,7
dw,dw.Carysfort,25.22374475,-80.209705325,2023-10-31,APAL,Wild,0,71,NA,71,1,"[10,100)",Upper Keys,1
dw,dw.Carysfort,25.22753,-80.2073,2024-02-01,APAL,Wild,1,0,NA,1,0,"[0,10)",Upper Keys,1
dw,dw.Conch,24.960605333333334,-80.45652223333333,2023-12-04,APAL,Wild,0,28,NA,28,1,"[10,100)",Middle Keys,8
dw,dw.Elbow,25.14260440714286,-80.25844086428572,2023-11-17,APAL,Wild,156,69,NA,225,0.30666666666666664,"[100,1e+03)",Upper Keys,9
dw,dw.French,25.033713,-80.3494685,2023-10-23,APAL,Wild,0,12,NA,12,1,"[10,100)",Upper Keys,10
dw,dw.French,25.0340667,-80.35175,2023-12-05,APAL,Wild,0,3,NA,3,1,"[0,10)",Upper Keys,10
dw,dw.French,25.0335,-80.34959,2024-02-01,APAL,Wild,1,0,NA,1,0,"[0,10)",Upper Keys,10
dw,dw.Grecian,25.1090905,-80.3057435,2023-10-01,APAL,Wild,0,5,NA,5,1,"[0,10)",Upper Keys,11
dw,dw.Grecian,25.1100245,-80.3052165,2023-12-05,APAL,Wild,0,20,NA,20,1,"[10,100)",Upper Keys,11
dw,dw.Horseshoe,25.139883349999998,-80.29434985,2023-09-25,APAL,Wild,0,147,NA,147,1,"[100,1e+03)",Upper Keys,12
dw,dw.Little Conch,24.939072,-80.484465,2023-09-25,APAL,Wild,0,6,NA,6,1,"[0,10)",Middle Keys,13
dw,dw.Little Elbow,25.154288649999998,-80.2678,2023-11-27,APAL,Wild,42,20,NA,62,0.3225806451612903,"[10,100)",Upper Keys,9
dw,dw.Little Grecian,25.11904565,-80.30037899999999,2023-10-11,APAL,Wild,0,9,NA,9,1,"[0,10)",Upper Keys,11
dw,dw.Molasses,25.009442175,-80.37466125,2023-12-04,APAL,Wild,0,4,NA,4,1,"[0,10)",Upper Keys,14
dw,dw.North Dry Rocks,25.130162,-80.293893,2023-09-25,APAL,Wild,0,1,NA,1,1,"[0,10)",Upper Keys,12
dw,dw.North Dry Rocks,25.129521,-80.293583,2023-10-06,APAL,Wild,0,5,NA,5,1,"[0,10)",Upper Keys,12
dw,dw.North Dry Rocks,25.129708,-80.293758,2023-11-27,APAL,Wild,0,3,NA,3,1,"[0,10)",Upper Keys,12
dw,dw.North North Dry Rocks,25.13741,-80.2893,2023-10-11,APAL,Wild,0,1,NA,1,1,"[0,10)",Upper Keys,12
dw,dw.North North Dry Rocks,25.137238,-80.28953723333333,2023-12-05,APAL,Wild,0,57,NA,57,1,"[10,100)",Upper Keys,12
dw,dw.Patch Near S Carysfort,25.2092,-80.243,2023-10-31,APAL,Wild,0,9,NA,9,1,"[0,10)",Upper Keys,15
dw,dw.Phils,25.01575,-80.405216,2023-12-04,APAL,Wild,0,30,NA,30,1,"[10,100)",Upper Keys,16
dw,dw.Pickles,24.9849167,-80.41765,2023-10-23,APAL,Wild,0,1,NA,1,1,"[0,10)",Upper Keys,4
dw,dw.Pickles,24.9853,-80.416316,2023-12-04,APAL,Wild,0,1,NA,1,1,"[0,10)",Upper Keys,4
dw,dw.Sand Island,25.018058500000002,-80.3684995,2023-12-04,APAL,Wild,0,49,NA,49,1,"[10,100)",Upper Keys,14
dw,dw.South Carysfort,25.208584000000002,-80.22079375,2023-10-31,APAL,Wild,0,41,NA,41,1,"[10,100)",Upper Keys,17
dw,dw.Triple A,25.171266,-80.266,2023-11-27,APAL,Wild,0,1,NA,1,1,"[0,10)",Upper Keys,18
dw,dw.Turtle Rocks,25.2807167,-80.2088667,2023-07-26,APAL,Wild,0,140,NA,140,1,"[100,1e+03)",Upper Keys,19
dw,dw.U91,25.1554,-80.286716,2023-11-27,APAL,Wild,0,4,NA,4,1,"[0,10)",Upper Keys,7
dw,dw.Watsons,25.186216616666666,-80.24255788333333,2023-10-31,APAL,Wild,3,53,NA,56,0.9464285714285714,"[10,100)",Upper Keys,20
fwc,fwc.Palmata Patch,24.62079,-82.86737,2023-08-09,APAL,Wild,124,7,NA,131,0.05343511450381679,"[100,1e+03)",Tortugas--Dry Tortugas NP,21
fwc,fwc.Palmata Patch,24.62079,-82.86737,2024-02-02,APAL,Wild,0,131,NA,131,1,"[100,1e+03)",Tortugas--Dry Tortugas NP,21
fwc,fwc.Acropolis,24.6802,-82.891217,2024-02-02,APAL,Wild,0,5,NA,5,1,"[0,10)",Tortugas--Dry Tortugas NP,22
fwc,fwc.Looe Key,24.54647,-81.40553,2023-07-25,APAL,Wild,45,27,NA,72,0.375,"[10,100)",Lower Keys,6
fwc,fwc.Looe Key,24.54647,-81.40553,2023-12-05,APAL,Wild,0,72,NA,72,1,"[10,100)",Lower Keys,6
fwc,fwc.Looe Key,24.54647,-81.40553,2023-07-25,APAL,Outplant,12,5,NA,17,0.29411764705882354,"[10,100)",Lower Keys,6
fwc,fwc.Looe Key,24.54647,-81.40553,2023-12-05,APAL,Outplant,0,17,NA,17,1,"[10,100)",Lower Keys,6
fwc,fwc.Sombrero Reef,24.62616,-81.1106,2023-07-31,APAL,Wild,3,13,NA,16,0.8125,"[10,100)",Middle Keys,5
fwc,fwc.Sombrero Reef,24.62616,-81.1106,2023-12-04,APAL,Wild,0,16,NA,16,1,"[10,100)",Middle Keys,5
fwc,fwc.Sombrero Reef,24.62616,-81.1106,2023-07-31,APAL,Outplant,14,8,NA,22,0.36363636363636365,"[10,100)",Middle Keys,5
fwc,fwc.Sombrero Reef,24.62616,-81.1106,2023-12-04,APAL,Outplant,5,17,NA,22,0.7727272727272727,"[10,100)",Middle Keys,5
